,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Yeast1-null-mutants,"ACC=0.88 , F1=0.53 , TPR=0.54 , FPR=0.46","ACC=0.89 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.9 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.9 , F1=0.54 , TPR=0.54 , FPR=0.46","ACC=0.9 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.91 , F1=0.52 , TPR=0.51 , FPR=0.49","ACC=0.91 , F1=0.52 , TPR=0.51 , FPR=0.49","ACC=0.91 , F1=0.52 , TPR=0.52 , FPR=0.48"
Yeast1-nonoise-heterozygous,"ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.92 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.92 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.92 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.92 , F1=0.5 , TPR=0.5 , FPR=0.5"
Yeast1-heterozygous,"ACC=0.84 , F1=0.47 , TPR=0.46 , FPR=0.54","ACC=0.87 , F1=0.48 , TPR=0.48 , FPR=0.52","ACC=0.9 , F1=0.49 , TPR=0.49 , FPR=0.51","ACC=0.92 , F1=0.49 , TPR=0.49 , FPR=0.51","ACC=0.92 , F1=0.48 , TPR=0.49 , FPR=0.51","ACC=0.93 , F1=0.48 , TPR=0.5 , FPR=0.5","ACC=0.93 , F1=0.48 , TPR=0.5 , FPR=0.5","ACC=0.94 , F1=0.48 , TPR=0.5 , FPR=0.5"
Yeast1-nonoise-proteins,"ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.92 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.92 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.92 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.92 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.92 , F1=0.5 , TPR=0.5 , FPR=0.5"
Yeast1-trajectories,"ACC=0.81 , F1=0.5 , TPR=0.52 , FPR=0.48","ACC=0.85 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.86 , F1=0.49 , TPR=0.49 , FPR=0.51","ACC=0.87 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.88 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.88 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.9 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.9 , F1=0.51 , TPR=0.51 , FPR=0.49"
Yeast2-nonoise-proteins,"ACC=0.85 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.86 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.86 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.86 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.86 , F1=0.51 , TPR=0.52 , FPR=0.48","ACC=0.86 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.86 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.86 , F1=0.5 , TPR=0.52 , FPR=0.48"
Yeast2-null-mutants,"ACC=0.8 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.82 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.83 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.84 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.84 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.84 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.85 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.85 , F1=0.5 , TPR=0.51 , FPR=0.49"
Yeast2-nonoise-heterozygous,"ACC=0.85 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.86 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.86 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.86 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.86 , F1=0.51 , TPR=0.52 , FPR=0.48","ACC=0.86 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.86 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.86 , F1=0.5 , TPR=0.52 , FPR=0.48"
Yeast2-trajectories,"ACC=0.77 , F1=0.53 , TPR=0.54 , FPR=0.46","ACC=0.79 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.81 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.82 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.83 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.83 , F1=0.51 , TPR=0.52 , FPR=0.48","ACC=0.83 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.84 , F1=0.49 , TPR=0.5 , FPR=0.5"
Yeast2-heterozygous,"ACC=0.8 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.83 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.85 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.86 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.86 , F1=0.48 , TPR=0.5 , FPR=0.5","ACC=0.86 , F1=0.47 , TPR=0.49 , FPR=0.51","ACC=0.86 , F1=0.47 , TPR=0.5 , FPR=0.5","ACC=0.87 , F1=0.47 , TPR=0.5 , FPR=0.5"
Yeast3-null-mutants,"ACC=0.78 , F1=0.53 , TPR=0.53 , FPR=0.47","ACC=0.81 , F1=0.52 , TPR=0.52 , FPR=0.48","ACC=0.82 , F1=0.51 , TPR=0.51 , FPR=0.49","ACC=0.82 , F1=0.5 , TPR=0.51 , FPR=0.49","ACC=0.83 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.83 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.84 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.84 , F1=0.48 , TPR=0.5 , FPR=0.5"
Yeast3-heterozygous,"ACC=0.78 , F1=0.5 , TPR=0.5 , FPR=0.5","ACC=0.81 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.82 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.83 , F1=0.49 , TPR=0.5 , FPR=0.5","ACC=0.84 , F1=0.48 , TPR=0.5 , FPR=0.5","ACC=0.84 , F1=0.49 , TPR=0.51 , FPR=0.49","ACC=0.85 , F1=0.49 , TPR=0.51 , FPR=0.49","ACC=0.85 , F1=0.48 , TPR=0.5 , FPR=0.5"
Yeast3-nonoise-heterozygous,,,,,,,,
Yeast3-nonoise-proteins,,,,,,,,
Yeast3-trajectories,,,,,,,,
